t        x       y 
1   -0.0025   -0.007499929687697754
2   -0.007499929687829589   -0.02249789072743294
3   -0.014999226601719626   -0.04498249619149891
4   -0.02499599295365638   -0.07491771992190613
5   -0.0374857336025446   -0.112220316694565
6   -0.05245968262700361   -0.15673018692721877
7   -0.06990273529512786   -0.20817450731078543
8   -0.0897910172143985   -0.26612714972730905
9   -0.1120891439681165   -0.3299658812459898
10   -0.13674725286850103   -0.3988310381846609
11   -0.16269792284083728   -0.468943103460337
12   -0.19085666375536067   -0.5417939424104804
13   -0.22111668303668738   -0.6157599193457056
14   -0.2533465368950271   -0.6889501558210398
15   -0.2873884125571715   -0.7592534674972327
16   -0.32305727579627647   -0.8244172649210384
17   -0.3591410952478225   -0.8807404018548203
18   -0.39640891307494974   -0.9280812997260421
19   -0.43460767498303327   -0.9645737961785027
20   -0.47346596983061734   -0.9887114607229517
21   -0.5126988448384733   -0.9994654094304104
22   -0.5520134547590082   -0.9963689266161055
23   -0.5911152125877946   -0.9795569237677714
24   -0.6297140524741031   -0.9497544655304514
25   -0.6675304025233969   -0.9082160525273026
26   -0.7043004985346707   -0.8566244385415991
27   -0.73878074336438   -0.7987714516787464
28   -0.7717569017438167   -0.7354441574236011
29   -0.8030390967763368   -0.6687121673631703
30   -0.8314624883677616   -0.6029591409212794
31   -0.8578914497862117   -0.5378782990661884
32   -0.8822128549548287   -0.47499125028516
33   -0.9043342838279023   -0.41558856676155
34   -0.9241818309109839   -0.36072690995450235
35   -0.9416976992849128   -0.31124189451909046
36   -0.9558377408513172   -0.27066084325314876
37   -0.9675710954990389   -0.23661396410059543
38   -0.9758754407910861   -0.21233744450196818
39   -0.9817367950761114   -0.19512242057377155
