t        x       y 
150   -0.8303441545   -0.605632269009
151   -0.831395251163   -0.603120048545
152   -0.830452221753   -0.605374255369
153   -0.826519339945   -0.614722926655
154   -0.819614600314   -0.630928078514
155   -0.809770257374   -0.653562564388
156   -0.798033733195   -0.679801142059
157   -0.783463717798   -0.711198429764
158   -0.766136224106   -0.746764531022
159   -0.746146009122   -0.785283955782
160   -0.723607954698   -0.825320065868
161   -0.698658237273   -0.865234518962
162   -0.672455101454   -0.901934175942
163   -0.64417228182   -0.93528934437
164   -0.614004752339   -0.963445321362
165   -0.582167460247   -0.984603363729
166   -0.548893159744   -0.997122254884
167   -0.515429333373   -0.999699685994
168   -0.481026771684   -0.991855390026
169   -0.445942632723   -0.972985371231
170   -0.411435660696   -0.94391961177
171   -0.376754127063   -0.904524105753
172   -0.34213864966   -0.855448349956
173   -0.307817892596   -0.797689178576
174   -0.274004807525   -0.732518627142
175   -0.240893589923   -0.661397718288
176   -0.209657460749   -0.588314103609
177   -0.179442912819   -0.512701818765
178   -0.151374781735   -0.438675578845
179   -0.125553264403   -0.367816474085
180   -0.102056493082   -0.301408473816
181   -0.0799434595442   -0.237537863333
182   -0.0592588717076   -0.176841669529
183   -0.0400348821518   -0.119816100538
184   -0.0222928828534   -0.0668288044222
185   -0.00604529469655   -0.0181348899262
186   0.0077027045869   0.0231060572516
187   0.0199513713218   0.0598183823234
188   0.0307045148636   0.0919833373957
189   0.0399682570396   0.119617662691
190   0.0477499491371   0.142760422979
191   0.0540572480493   0.161461834294
192   0.0588973495687   0.175774092826
193   0.0622763747632   0.185744137382
194   0.063198904594   0.188462850855
195   0.0616662336263   0.183945256575
196   0.0586762214345   0.175120998338
197   0.053224841945   0.158996881206
198   0.0463052647429   0.13846943494
199   0.0379097707716   0.113484301577
200   0.0270304273267   0.081002437908
201   0.0146592991235   0.0439637227925
202   0.000790588099948   0.00237176207621
203   -0.015578115892   -0.046717337458
204   -0.0344440902567   -0.103148479531
205   -0.0547967295456   -0.163650771366
206   -0.0776156646716   -0.230748618269
207   -0.102867133296   -0.30372640468
208   -0.129500500153   -0.378802012985
209   -0.158447561345   -0.457643166737
210   -0.189617462403   -0.538665517266
211   -0.221893662734   -0.617594870654
212   -0.256136104047   -0.694991667594
213   -0.292176089834   -0.768522221465
214   -0.328815633364   -0.834071155602
215   -0.36683431908   -0.891435386782
216   -0.404985874358   -0.937354633739
217   -0.444008371262   -0.971629327354
218   -0.483622140366   -0.992817024559
219   -0.522535016012   -0.999994907874
220   -0.560455869841   -0.993893221317
221   -0.597100858388   -0.975786845889
222   -0.632199037832   -0.947394724368
223   -0.666497048401   -0.909509067407
224   -0.698755848764   -0.865087664219
225   -0.729760597362   -0.814757520801
226   -0.75931584134   -0.760215742026
227   -0.787246908555   -0.703174145048
228   -0.813400431604   -0.64528123322
229   -0.83764409188   -0.588061778162
230   -0.85986571212   -0.532875851355
231   -0.879971848777   -0.480896663763
232   -0.897886042233   -0.433104758338
233   -0.913546876712   -0.39029503737
234   -0.926905986589   -0.353092721582
235   -0.937926125631   -0.321974469206
236   -0.946579393794   -0.297291342456
237   -0.952845694926   -0.279290924921
238   -0.956711479734   -0.26813653719
239   -0.957168812242   -0.266814529002
240   -0.955216775009   -0.27245373701
241   -0.949859315567   -0.28788222399
242   -0.941107691571   -0.312923513454
243   -0.929981621753   -0.344445228631
244   -0.916508535897   -0.382099431029
245   -0.899725146998   -0.428125195689
246   -0.879682459511   -0.481657672236
247   -0.857448873398   -0.538997130193
248   -0.833109518284   -0.59900993315
249   -0.806768309186   -0.660352244805
250   -0.777549710089   -0.723558331288
251   -0.746605452891   -0.784429835888
252   -0.713110651771   -0.842690293983
253   -0.677269854115   -0.895602213634
254   -0.64031691698   -0.939319749946
255   -0.602506372682   -0.972111758457
256   -0.564109533189   -0.992624038683
257   -0.524409610396   -0.999997041463
258   -0.484703606348   -0.993199966888
259   -0.444288654548   -0.971827852303
260   -0.403462932252   -0.935753183633
261   -0.362518848982   -0.885494207507
262   -0.321736391751   -0.822168006344
263   -0.281377046798   -0.747394140619
264   -0.24167865413   -0.663162360062
265   -0.202851450395   -0.57168193871
266   -0.166075434976   -0.477868221421
267   -0.130495498397   -0.381562867441
268   -0.0972264190421   -0.287560959026
269   -0.0663517455307   -0.197743311229
270   -0.0369277066092   -0.110556653824
271   -0.00898834224675   -0.0269617590903
272   0.0174519309515   0.0523318771351
273   0.0423956297784   0.126844260025
274   0.0648595219928   0.193353070903
275   0.0858705911016   0.254771862597
276   0.10546415724   0.311140127505
277   0.123681813262   0.362589926274
278   0.140569597311   0.409320135991
279   0.156176404285   0.451574488831
280   0.170552627703   0.489623483701
281   0.183749016201   0.523749961745
282   0.195815724591   0.554237965179
283   0.206801537324   0.581364417935
284   0.216753241816   0.605393148544
285   0.225715129835   0.626570797837
286   0.233728606586   0.645124199063
287   0.239831889027   0.659005427752
288   0.245054826011   0.67070916143
289   0.249423461879   0.680372201494
290   0.252959930882   0.688109046399
291   0.255682381658   0.694012320656
292   0.257604924626   0.698153234437
293   0.258737596682   0.70058200326
294   0.259086338987   0.701328177827
295   0.258652984937   0.700400851002
296   0.257435256614   0.697788723404
297   0.255426769202   0.693460022032
298   0.252617044026   0.687362278865
299   0.248991532007   0.679421989443
300   0.244531650613   0.669544186122
301   0.239214838649   0.65761197797
302   0.233014634654   0.643486130319
303   0.224900786231   0.624664918414
304   0.214834705528   0.600802104291
305   0.203770130343   0.573941027359
306   0.191658313572   0.543813760955
307   0.177448481976   0.507555616182
308   0.161084602887   0.464662837722
309   0.142507004575   0.414616210207
310   0.121654415332   0.356914961448
311   0.0984664838892   0.291122023129
312   0.0728868376227   0.21692222562
313   0.0448667191324   0.134194095692
314   0.0143692129747   0.0430942892365
315   -0.0186259707069   -0.0558488383435
316   -0.0541172524777   -0.161639483
317   -0.0910756589382   -0.269840108842
318   -0.130441328258   -0.381412647054
319   -0.171118009792   -0.491101706234
320   -0.213972446928   -0.598732233625
321   -0.257829257206   -0.698634907927
322   -0.303474763353   -0.789764074839
323   -0.35065379629   -0.868397486775
324   -0.39807250107   -0.929928182714
325   -0.445410558798   -0.97261561727
326   -0.493329665476   -0.995879846766
327   -0.541475478611   -0.998562250355
328   -0.588487280735   -0.981112426589
329   -0.634015486912   -0.945636507192
330   -0.677730629452   -0.894986422428
331   -0.719330538543   -0.832497840772
332   -0.759545376911   -0.759768194214
333   -0.798134730176   -0.679578898365
334   -0.834890077373   -0.594724104412
335   -0.86963559989   -0.50784888876
336   -0.902227506979   -0.421328901661
337   -0.931552144293   -0.340018171951
338   -0.958525734443   -0.26288913638
339   -0.983087259474   -0.191147309156
340   -1.0051948811   -0.125674815327
341   -1.02382232401   -0.0700682205629
342   -1.0399559114   -0.0217232104898
343   -1.05359008875   0.0191764371423
344   -1.0647247258   0.0525572974426
345   -1.07336281808   0.0784152156354
346   -1.07950860839   0.0967814448834
347   -1.08316613456   0.10769646914
348   -1.08433820117   0.111191545174
349   -1.0830257703   0.10727781599
350   -1.07922776672   0.0959428407371
351   -1.07294129603   0.0771544810094
352   -1.06416227746   0.0508722104842
353   -1.05288649597   0.0170660058057
354   -1.03811107856   -0.0272560420533
355   -1.01983658994   -0.0819907411977
356   -0.998070518598   -0.146848128207
357   -0.973831549624   -0.218325264585
358   -0.946152890508   -0.298512757908
359   -0.915088217282   -0.386033590173
360   -0.881717332244   -0.476298890827
361   -0.846148238608   -0.567237776593
362   -0.808520259799   -0.656396228749
363   -0.769006240178   -0.741010477827
364   -0.726813486898   -0.819851830049
365   -0.683189294271   -0.887561523215
366   -0.637413378635   -0.942272191368
367   -0.589800343244   -0.980342826462
368   -0.540694053718   -0.998685169828
369   -0.491459605805   -0.995355431738
370   -0.441465828368   -0.969797078022
371   -0.39108183382   -0.922011984116
372   -0.340665742615   -0.853151602811
373   -0.290553809047   -0.765399213956
374   -0.242050764932   -0.663997494211
375   -0.194417057811   -0.550740520806
376   -0.147870041968   -0.429202949754
377   -0.102581046315   -0.302908576826
378   -0.0586745997088   -0.175116208341
379   -0.0172295225305   -0.0516655545391
380   0.0227188935394   0.0681039244589
381   0.0601731140281   0.179540500693
382   0.0951679580606   0.281640964313
383   0.127764002436   0.373975624769
384   0.159041450479   0.459226584076
385   0.189098100602   0.537352146297
386   0.218046355792   0.608476256825
387   0.246010680785   0.67283333201
388   0.273125520532   0.730720364765
389   0.298533668032   0.78058487961
390   0.323379191045   0.824963475561
391   0.346811748949   0.86262447632
392   0.368979694726   0.894333420344
393   0.390029137785   0.920784698686
394   0.410103402851   0.942592439984
395   0.429342804559   0.960286829377
396   0.447884669507   0.974313905676
397   0.466863549034   0.985549948689
398   0.486418965912   0.993785924358
399   0.505696112051   0.99855807253
400   0.524839052756   0.999993077715
