t        x       y 
1   -0.0015   -0.004499984812515378
2   -0.005499974687542715   -0.01649917539565628
3   -0.011999609073438467   -0.03599105248403907
4   -0.020997623739812316   -0.06295121912974679
5   -0.032490679918879495   -0.09731776935739987
6   -0.046471869499423696   -0.13896441703618828
7   -0.06292880251729863   -0.18766700326899363
8   -0.08184131730927012   -0.24306459679301282
9   -0.10317885736114338   -0.3046172657390445
10   -0.12689758451377864   -0.3715637160727865
11   -0.15193733030714338   -0.4401915486504861
12   -0.17922183583221757   -0.5121322780024037
13   -0.2086536078315388   -0.5858761951635083
14   -0.24011138125599024   -0.6596358463550882
15   -0.27344811807518127   -0.7313807121281634
16   -0.30748977837859176   -0.7970951658794592
17   -0.34304107294344527   -0.8568472762551499
18   -0.37988129328480347   -0.9084847246863224
19   -0.41676630877657284   -0.949078835111466
20   -0.45343892094789756   -0.9779308324101954
21   -0.4906338553797898   -0.9951138973499312
22   -0.5270756239070405   -0.9999456023594621
23   -0.5634913165448083   -0.9928471767448296
24   -0.5986085288269639   -0.9747875786295699
25   -0.6331679038986052   -0.9464604159738893
26   -0.6669202292467376   -0.9089806059789479
27   -0.6986304585761589   -0.8652762979526244
28   -0.7280874497792615   -0.817657526951365
29   -0.7561051786526016   -0.7664380014390125
30   -0.7815171117926093   -0.7152916206615518
31   -0.8051819797195178   -0.6639185443977912
32   -0.8259773353998685   -0.6160046205328946
33   -0.8448033347331446   -0.5705559537565773
34   -0.8615761872383283   -0.5285266762697047
35   -0.8762267480098086   -0.4907169623475997
36   -0.8886990111907604   -0.4577791422650507
37   -0.8989486095059106   -0.4302293481175353
38   -0.9069414087770352   -0.4084619750345788
39   -0.9126522697068713   -0.39276459552246584
40   -0.9160640330250017   -0.38333141453692743
41   -0.9171667691851212   -0.3802738251858425
42   -0.9159573204776877   -0.3836270774922389
43   -0.9124391515275999   -0.3933524906027572
44   -0.9066225132252357   -0.40933502796292914
45   -0.8985249145510069   -0.43137643350015653
46   -0.8881718858005224   -0.45918451698515694
47   -0.8745980047652141   -0.4949685524074167
48   -0.8578518465086934   -0.537978454631725
49   -0.8379982917802908   -0.5872019986742228
50   -0.8151211359722023   -0.6413290821575568
51   -0.7903258153374191   -0.6965767709466802
52   -0.7637367890373693   -0.7515326528691524
53   -0.7354985230040041   -0.8046567249312415
54   -0.7057759061971041   -0.8543323871746037
55   -0.6747539718476443   -0.8989342863923653
56   -0.6416368287602371   -0.9379540305150796
57   -0.6066527866135367   -0.9691193978489806
58   -0.5710522645770953   -0.989883850966677
59   -0.5350970423010556   -0.9994051133737867
60   -0.49905560012583616   -0.9972905708056367
61   -0.46219806549162185   -0.9830827031098582
62   -0.42579843640748183   -0.9572658068850577
63   -0.39012183124656585   -0.920893134231564
64   -0.35541976390984265   -0.875398366507255
65   -0.32092620210661016   -0.8207819901633432
66   -0.28786074421377666   -0.76017487823083
67   -0.2564195826195498   -0.695602894607548
68   -0.22677448723549862   -0.6290445061181013
69   -0.19807281507047783   -0.5598613399525438
70   -0.1714426086908771   -0.4919497497350535
71   -0.14598896129815167   -0.42409912083214685
72   -0.12179935334814443   -0.35732110353333857
73   -0.09994469939791123   -0.29536171054606675
74   -0.08047850920596401   -0.23909676351587356
75   -0.06343980837763437   -0.1891725621696156
76   -0.048855967196161074   -0.14604369935255376
77   -0.036745321364179274   -0.11001283572749923
78   -0.026119500948568807   -0.07827833987413367
79   -0.017986009390556376   -0.053931849130306755
80   -0.012348879379437476   -0.03703816458908201
81   -0.009210033997774196   -0.027626586553757205
82   -0.007570234398648956   -0.02270875097353433
83   -0.007429790107184602   -0.02228752474799002
84   -0.009788724821394217   -0.029361953884079577
85   -0.014646581647815552   -0.043925607222024536
86   -0.022002025486022182   -0.06595815766214919
87   -0.031852025298542946   -0.0954107224299219
88   -0.0441906200887135   -0.1321838697142092
89   -0.05900727791352847   -0.17609873371824622
90   -0.07628486701021853   -0.22686213774745473
91   -0.09599727331059227   -0.2840273235548925
92   -0.11710672007718974   -0.34413763078829906
93   -0.13956346487966192   -0.4065643175620274
94   -0.16430426508821194   -0.4731939430271894
95   -0.19124746099843884   -0.5427789783874778
96   -0.2192903458448844   -0.6114335999653916
97   -0.24931147004874063   -0.6801259378340248
98   -0.2811653324852105   -0.7469720130496935
99   -0.31468133362625733   -0.8099365938250449
