t        x       y 
1   -0.5225987755982988   -0.999995500003375
2   -0.5216062755870489   -0.9999821347998678
3   -0.5196287192368921   -0.9999290747746065
4   -0.5166809376054997   -0.9997846535582331
5   -0.5137850360346704   -0.9995666386249623
6   -0.5099627268780219   -0.9991633784708054
7   -0.5052426595646546   -0.9984841216547997
8   -0.50066019355041   -0.9976331308093933
9   -0.4952496311485375   -0.9963856463999503
10   -0.4890514311086808   -0.9946339703738979
11   -0.4821118725313047   -0.9922647588799691
12   -0.47448266303445   -0.9891638607575682
13   -0.46622049284553096   -0.9852213426022471
14   -0.4573865377462648   -0.980336510211644
15   -0.4480459152347757   -0.9744227264692077
16   -0.4392670997972693   -0.9681670955202397
17   -0.43011404627111527   -0.9609298217743882
18   -0.4206529730446476   -0.9526875850425802
19   -0.4109517779552262   -0.9434393189156352
20   -0.40107944598600315   -0.9332076337222635
21   -0.39110545802230673   -0.9220394209343504
22   -0.3810992100360934   -0.9100056254280294
23   -0.3721294518040786   -0.8985210450100878
24   -0.36425701967353147   -0.8879050829580553
25   -0.35653465429011594   -0.8770102884656766
26   -0.34901346789504206   -0.8659468193356302
27   -0.3417426217188749   -0.8548324518327605
28   -0.3347690358271475   -0.8437903125909295
29   -0.3291371324341361   -0.8346028390869318
30   -0.32488235943842747   -0.8275037882498284
31   -0.3210312367740696   -0.820961949915616
32   -0.31860757136999734   -0.8167886710027898
33   -0.31762624838999065   -0.8150866494053037
34   -0.3180932730762084   -0.8158975460660787
35   -0.32000578901612536   -0.8192015285268005
36   -0.32335206935365823   -0.8249174864259
37   -0.3281114826037934   -0.8329039466440356
38   -0.33325443979898595   -0.8413430821648747
39   -0.3387486506206614   -0.850137281269471
40   -0.34455926421836075   -0.8591865839123327
41   -0.35064903382204865   -0.8683904020099785
42   -0.35697850628755706   -0.8776492856208878
43   -0.36450623720663766   -0.8882487749206279
44   -0.3731823749402117   -0.8999030401137798
45   -0.38294873776061983   -0.912292025434802
46   -0.3937389513401967   -0.9250688576501398
47   -0.4054786634999656   -0.937868637916797
48   -0.4170858519490793   -0.949380404347462
49   -0.4294783621787433   -0.9604002176743429
50   -0.44256743280551525   -0.9705978680425363
51   -0.45625827051010515   -0.979662962497872
52   -0.47045073357234435   -0.9873156916828978
53   -0.4840401201548989   -0.9929662685717046
54   -0.496925500714153   -0.996800121825707
55   -0.5100107174114091   -0.9991692560842572
56   -0.5231978163230121   -0.9999992765425553
57   -0.5363879224284546   -0.9992640600407618
58   -0.5484821334639359   -0.9972149769424921
59   -0.5603898925994273   -0.9939150428446292
60   -0.5720222782657086   -0.9894667833110343
61   -0.5832927636977738   -0.9840076337185157
62   -0.5941179333936495   -0.9777050578933664
63   -0.6044181458307308   -0.9707507415114254
64   -0.6141181343624287   -0.9633541387803852
65   -0.623147541041858   -0.9557356604581082
66   -0.6314413809868543   -0.9481197805442274
67   -0.6379404376212057   -0.9417415599048361
68   -0.6435986508012357   -0.9358969555662385
69   -0.6483761792740568   -0.9307520071738121
70   -0.6522395800850401   -0.9264516176378482
71   -0.6551619462255137   -0.923115998241909
72   -0.6571230083889923   -0.920837823718012
73   -0.6571092061310951   -0.9208539693247999
74   -0.6561206347749664   -0.9220062725367818
75   -0.6531641260712951   -0.9254040195582888
76   -0.6482601622216362   -0.9308792160720115
77   -0.6414428806387746   -0.938155631867735
78   -0.6327600645014511   -0.9468546834585923
79   -0.6222730942728127   -0.9565042276744099
80   -0.6110568278833068   -0.9657769055676967
81   -0.5981921260273122   -0.9750655599400737
82   -0.5837726316773459   -0.9837501828341649
83   -0.5689042806006996   -0.990777561003545
84   -0.5536971834483209   -0.9959261553459124
85   -0.5372646548609958   -0.999159714554213
86   -0.5207296608889077   -0.9999629570422286
87   -0.5042161850114382   -0.9983098946103592
88   -0.4868479966575867   -0.9939283652049016
89   -0.46875488107639174   -0.986495169238733
90   -0.4510712413878682   -0.976422145055134
91   -0.43292727633886097   -0.9632316112552162
92   -0.4144549923110548   -0.946871574808047
93   -0.3957867380588965   -0.9273846312733477
94   -0.37805375698099664   -0.906179800847158
95   -0.36037800745453374   -0.882491736574186
96   -0.343878077681685   -0.8581391779812619
97   -0.32766169073830675   -0.8321564204145439
98   -0.3118316562301945   -0.8048929010679411
99   -0.29648517197782526   -0.7767289275375404
100   -0.28171327531655405   -0.7480639117196892
101   -0.2676004453808522   -0.7193049833140632
102   -0.25422435150198863   -0.6908565077214941
103   -0.24165573737013965   -0.6631109005905047
104   -0.23095842614922943   -0.638752095014655
105   -0.22218464644793745   -0.6182812081740005
106   -0.21437575915403528   -0.5997008930170641
107   -0.20856743246736698   -0.5856666658943597
108   -0.20478548579882858   -0.5764327743383378
109   -0.20304640056812162   -0.5721616963309824
110   -0.20335766743103734   -0.5729272947587744
111   -0.205717949781511   -0.5787163896043537
112   -0.20911705431096955   -0.5870023604117942
113   -0.21454012189108976   -0.6000954012371008
114   -0.2219630105716682   -0.6177584827602006
115   -0.23135181897494933   -0.639659694170011
116   -0.24266227295503165   -0.6653681135910804
117   -0.2548390154869868   -0.6921885236493298
118   -0.2688200498601641   -0.7218419202999391
119   -0.28353122917325563   -0.751672096474272
