t        x       y 
1   -0.5225987755982988   -0.999995500003375
2   -0.5206062755870489   -0.9999597025172228
3   -0.5186362190244069   -0.9998891806920095
4   -0.5157033802611912   -0.9997194954109037
5   -0.5128297514261637   -0.9994781719231166
6   -0.5100368762229905   -0.9991724511487149
7   -0.5063456872057484   -0.9986607882556128
8   -0.5017838385824449   -0.9978592525897145
9   -0.4963854852194148   -0.9966693162733384
10   -0.4901910048867129   -0.9949818464552317
11   -0.48424666358066093   -0.9930394406783902
12   -0.47859677801467393   -0.9909005246205508
13   -0.47228338307176126   -0.9881736713400736
14   -0.4653533351914945   -0.9847724132933443
15   -0.4578579085113579   -0.9806145809939006
16   -0.44985234816211006   -0.975626251887116
17   -0.4413953849819484   -0.9697455101607774
18   -0.43254871704551623   -0.9629258648387391
19   -0.42437646449862787   -0.9560233568110309
20   -0.4169374383033517   -0.9492404472875151
21   -0.4092847905683024   -0.941769483080542
22   -0.4014727908003677   -0.9336310146341535
23   -0.39455638137025906   -0.9259974535459276
24   -0.3875837963280348   -0.9178983756052569
25   -0.3806032501335291   -0.9093877495479485
26   -0.37366257749194975   -0.9005303407319655
27   -0.36680888778900483   -0.8914008117855772
28   -0.3610882376726036   -0.8834918558939032
29   -0.35553870385211717   -0.8755707982696355
30   -0.35019689458947045   -0.8677169813933974
31   -0.3450977317975706   -0.8600120033638015
32   -0.34127425351327384   -0.8541024936509031
33   -0.3387510370543879   -0.8501410510572627
34   -0.33754420815552005   -0.8482290979765814
35   -0.3376614529832292   -0.848415334457635
36   -0.33910202557706703   -0.850695023973606
37   -0.3418567470784362   -0.8550100620826582
38   -0.34590799710276926   -0.8612498328137704
39   -0.35122970158682887   -0.8692529105630292
40   -0.35678732520628353   -0.8773742400676252
41   -0.3635444655067022   -0.8869196731984486
42   -0.37045641502646615   -0.8963066964414081
43   -0.3784769512194155   -0.9067159675559675
44   -0.38755184193700015   -0.917860331390974
45   -0.3976189914793719   -0.9294269997476041
46   -0.40860865610339603   -0.941085476855068
47   -0.4194437426829121   -0.9515786774582562
48   -0.4310473425211248   -0.9617010413612355
49   -0.4433361937139728   -0.9711504242821475
50   -0.45622121420647804   -0.9796406503864503
51   -0.4686081323236938   -0.9864229655496001
52   -0.4814056120458814   -0.9919995070721146
53   -0.4935186961284702   -0.9959311119920421
54   -0.5058570747428155   -0.9985838785879791
55   -0.5183284532966388   -0.9998750092666322
56   -0.5308393576208572   -0.9997640921498883
57   -0.543295961850249   -0.9982546018141595
58   -0.5556049231413391   -0.995393769913561
59   -0.5676742070083611   -0.991270832928715
60   -0.5784138875552314   -0.9865093084808825
61   -0.5877443051649163   -0.9815411490625454
62   -0.5965965950935826   -0.9761166121153535
63   -0.6049057669437405   -0.9703984847299999
64   -0.6126111653428336   -0.9645569451528375
65   -0.6186568767917495   -0.9596126313291514
66   -0.623999276441952   -0.954980731369008
67   -0.6286000065114368   -0.9507952348360763
68   -0.6324261866252496   -0.9471763955415207
69   -0.635450584054474   -0.9442275572306645
70   -0.6376517473122508   -0.9420324987061622
71   -0.639014106468265   -0.940653331646416
72   -0.6395280431555816   -0.940128971284007
73   -0.6381899326121342   -0.9414895526565228
74   -0.6350092166515481   -0.9446627478453743
75   -0.6310083928747526   -0.9485319386132461
76   -0.6252158653914222   -0.9538916048079547
77   -0.6176729596439937   -0.9604388502990778
78   -0.6084338264964106   -0.9677880001665915
79   -0.5975652770183397   -0.9754811609058729
80   -0.5861465201661945   -0.9824466037886127
81   -0.5742614032686966   -0.988472058954682
82   -0.5619977778783457   -0.9933721591541974
83   -0.548446796508662   -0.9972228777099158
84   -0.5337096275290932   -0.9995400033000382
85   -0.5188966387877965   -0.9999005062422474
86   -0.5031189149029875   -0.9981131825219764
87   -0.48749469335683854   -0.9941399609084027
88   -0.4711407232922424   -0.9876422240158058
89   -0.4541785666186654   -0.9783920245993195
90   -0.4367333060069353   -0.9662364811726986
91   -0.4199321875691999   -0.9520281073251804
92   -0.40289609561328904   -0.9351521365854996
93   -0.38574561954984926   -0.9156961787385243
94   -0.36859982163214716   -0.8938229727986056
95   -0.35157507370579655   -0.869764666296593
96   -0.33578399263394404   -0.8454204983209804
97   -0.3203281647708003   -0.8197557983820248
98   -0.30630411995472373   -0.7949422352659946
99   -0.29379678795463754   -0.7716240055782565
100   -0.28287965325759146   -0.7503814459595198
101   -0.272615031203386   -0.7296740104441999
102   -0.26405989708143224   -0.7118857492119756
103   -0.25726050119464644   -0.6974130937006373
104   -0.2522527787168817   -0.6865681548104817
105   -0.24906271986448902   -0.6795786757395245
106   -0.24770666759516816   -0.6765886499530143
107   -0.24719151829510375   -0.6754498345695787
108   -0.24851988384611176   -0.678383097335899
109   -0.25068502029541   -0.6831409847667037
110   -0.25467587303381917   -0.6918352128436628
111   -0.260471864337321   -0.7042850784488671
112   -0.2670426488123541   -0.7181414822505573
113   -0.27535317610507426   -0.7352663201289094
114   -0.28535814917459745   -0.7552755527993494
115   -0.29700164070477275   -0.7777038651147972
116   -0.310216709265723   -0.8020084399375726
117   -0.3249250595781122   -0.8275757047383406
118   -0.341036795201381   -0.8537317673894194
119   -0.3574503134230273   -0.8783268225116668
120   -0.3750589832900113   -0.9023438766017402
121   -0.3927451952917844   -0.9239324643946486
122   -0.4103877963397805   -0.9428770125285906
123   -0.42886324993792113   -0.9598844273646518
124   -0.447039693399143   -0.9737399248122229
125   -0.46578529500417626   -0.9849968730351517
126   -0.48496232707949827   -0.9932900292137089
127   -0.504428484104719   -0.9983467054230118
128   -0.5240383390720574   -0.9999991305279124
129   -0.5436448973142981   -0.9981922334513678
130   -0.5631012002513627   -0.9929862272134252
131   -0.5822619279805228   -0.9845537843558779
132   -0.6009849497173881   -0.9731720325445095
133   -0.6191327747755362   -0.9592100078713662
134   -0.6355738636700443   -0.9441057070667377
135   -0.6501908454193492   -0.9287476208120096
136   -0.6638810455842313   -0.9127433173593966
137   -0.6765499119501777   -0.8965609352862459
138   -0.6871114772919027   -0.8820794846978977
139   -0.695495291114113   -0.8699528897193668
140   -0.7026462678382318   -0.8591743331480763
141   -0.7085180371288698   -0.8500280491240778
142   -0.7130729628550936   -0.8427511635771778
143   -0.7162821302535303   -0.8375296706402351
144   -0.7181253180337138   -0.8344955735578198
145   -0.7185909692043285   -0.8337250177161943
146   -0.7176761707316337   -0.8352372760003588
147   -0.7153866479848127   -0.8389944992852357
148   -0.7107367754893766   -0.8465031671547125
149   -0.7047559437815747   -0.8559186912485661
